Instance,Routes_Run1,Distance_Run1
25-ce-6,2,415.07
25-ch-3,3,435.63
25-ch-4,3,546.39
25-rce-31,2,721.43
25-rch-28,3,543.64
25-rch-29,3,643.18
25-re-19,2,747.63
25-re-20,2,656.05
25-re-22,1,628.56
25-re-23,1,761.62
25-re-24,2,790.73
25-rh-13,5,867.94
25-rh-18,4,818.86
50-ce-7,2,1175.93
50-ce-10,2,1177.91
50-ch-1,5,1187.85
50-rce-32,2,1406.56
50-rch-26,7,1749.5
50-re-21,2,839.95
50-rh-12,8,1388.81
50-rh-14,7,1076.05
50-rh-15,10,1279.28
50-rh-16,7,1617.07
100-ce-8,4,2787.42
100-ce-9,4,3309.16
100-ch-2,10,2772.98
100-ch-5,11,2612.86
100-rce-33,5,3621.38
100-rch-25,17,3548.88
100-rch-27,16,2596.49
100-rch-30,13,2725.15
100-rh-11,22,2326.3
100-rh-17,14,2742.1
200-ce-36,7,8618.32
200-ce-37,7,10235.84
200-ch-34,21,11203.83
200-ch-35,21,4599.9
200-rce-42,7,5816.75
200-rce-43,5,7826.79
200-rch-41,19,7961.98
200-re-39,4,5749.85
200-re-40,5,8935.63
200-rh-38,20,9651.74
400-ce-46,14,15284.8
400-ce-47,15,28256.49
400-ch-44,38,24515.38
400-ch-45,41,34925.23
400-rce-51,13,18512.33
400-rch-50,37,16318.56
400-re-49,8,14890.69
400-rh-48,36,23195.35
600-ce-53,22,20146.5
600-ch-52,60,64191.15
600-rce-58,12,21966.97
600-rch-57,55,45626.82
600-re-56,11,36055.86
600-rh-54,55,33978.46
600-rh-55,55,55247.41
800-ce-60,27,23295.26
800-ch-59,81,95290.87
800-rce-64,21,57806.22
800-rch-63,73,51902.0
800-re-62,16,86917.12
800-rh-61,80,83014.63
